"response","data_scope","engine","model","fit_status","diagnostic_status","max_rhat","min_ess_bulk","min_ess_tail","divergences","optimizer_convergence","max_abs_gradient","pd_hessian","boundary","exploratory_only","note"
"lnRR","full_318_effects_36_studies","metafor","primary_diag","success","converged;unavailable;unavailable;clear",NA,NA,NA,NA,0,NA,NA,FALSE,FALSE,"Optimizer converged; numerical gradient/Hessian were not retained by metafor."
"lnRR","full_318_effects_36_studies","glmmTMB","primary_glmmTMB","success","converged;available;positive_definite;clear",NA,NA,NA,NA,0,NA,NA,FALSE,FALSE,"Optimizer converged; finite gradient and positive-definite Hessian."
"lnRR","full_318_effects_36_studies","metafor","sensitivity_un","success","converged;unavailable;unavailable;at_or_near_boundary",NA,NA,NA,NA,0,NA,NA,TRUE,TRUE,"rho = 1 boundary; exploratory only."
"lnCVR","full_318_effects_36_studies","metafor","primary_diag","success","converged;unavailable;unavailable;clear",NA,NA,NA,NA,0,NA,NA,FALSE,FALSE,"Optimizer converged; numerical gradient/Hessian were not retained by metafor."
"lnCVR","full_318_effects_36_studies","glmmTMB","primary_glmmTMB","success","converged;available;positive_definite;clear",NA,NA,NA,NA,0,NA,NA,FALSE,FALSE,"Optimizer converged; finite gradient and positive-definite Hessian."
"lnCVR","full_318_effects_36_studies","metafor","sensitivity_un","success","converged;unavailable;unavailable;at_or_near_boundary",NA,NA,NA,NA,0,NA,NA,TRUE,TRUE,"rho = 1 boundary; exploratory only."
"lnCVR","full_318_effects_36_studies","brms","lnCVR_baseline_primary","success","passed",1.00394440976353,1520.06506864659,1952.76868565834,0,NA,NA,NA,FALSE,FALSE,"Four chains; R-hat, ESS, and divergence gates passed."
"lnCVR","full_318_effects_36_studies","brms","lnCVR_extended_primary","success","passed",1.00560248609219,1071.19273874391,1009.53240799372,0,NA,NA,NA,FALSE,FALSE,"Four chains; R-hat, ESS, and divergence gates passed."
"lnCVR","full_318_effects_36_studies","brms","lnCVR_extended_sd_prior_sensitivity","success","passed",1.00477170587346,1149.14166322956,1129.40812587322,0,NA,NA,NA,FALSE,FALSE,"Four chains; R-hat, ESS, and divergence gates passed."
"lnRR","full_318_effects_36_studies","brms","lnRR_baseline_primary","success","passed",1.00408159402544,1142.86163732246,1808.13437076716,0,NA,NA,NA,FALSE,FALSE,"Four chains; R-hat, ESS, and divergence gates passed."
"lnRR","full_318_effects_36_studies","brms","lnRR_extended_primary","success","passed",1.00847836470374,1002.11921891915,1218.50911900214,0,NA,NA,NA,FALSE,FALSE,"Four chains; R-hat, ESS, and divergence gates passed."
"lnRR","full_318_effects_36_studies","brms","lnRR_extended_sd_prior_sensitivity","success","passed",1.00416577608815,1184.19219507692,1375.27429432881,0,NA,NA,NA,FALSE,FALSE,"Four chains; R-hat, ESS, and divergence gates passed."
"lnRR","matched_subset_232_effects_30_studies","drmTMB","drmTMB_common_study_scale","success","ok",NA,NA,NA,NA,0,0.00058842060510875,TRUE,FALSE,FALSE,"check_drm diagnostics retained in the full cache."
"lnRR","matched_subset_232_effects_30_studies","drmTMB","drmTMB_direct_study_scale","success","ok",NA,NA,NA,NA,0,7.98648668330543e-05,TRUE,FALSE,FALSE,"check_drm diagnostics retained in the full cache."
"lnCVR","matched_subset_232_effects_30_studies","drmTMB","drmTMB_common_study_scale","success","ok",NA,NA,NA,NA,0,3.36943093854051e-06,TRUE,FALSE,FALSE,"check_drm diagnostics retained in the full cache."
"lnCVR","matched_subset_232_effects_30_studies","drmTMB","drmTMB_direct_study_scale","success","warning_or_boundary",NA,NA,NA,NA,0,1.25626135813462e-07,TRUE,TRUE,FALSE,"Near-zero plant study SD; standard-error and boundary warnings retained."
"lnRR","matched_subset_232_effects_30_studies","blsmeta","blsmeta_direct_study_scale","success","failed_convergence",1.14358821534898,46.4312214035195,NA,NA,NA,NA,NA,FALSE,FALSE,"Model ran after deterministic study-order alignment; study-ratio target diagnostics did not fully pass."
"lnCVR","matched_subset_232_effects_30_studies","blsmeta","blsmeta_direct_study_scale","success","failed_convergence",1.00956637434277,1479.00678737349,NA,NA,NA,NA,NA,FALSE,FALSE,"Model ran after deterministic study-order alignment; study-ratio target diagnostics did not fully pass."
